EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup,SalaryBand,SatisfactionScore,AttritionBinary
1,39,No,Travel_Rarely,Research & Development,5,4,Marketing,2,Male,4,3,Research Director,2,Married,10275,9386,5,No,20,3,2,3,21,0,3,28,19,10,0,36-45,> 10K,2.33,0
2,44,No,Non-Travel,Human Resources,10,5,Medical,4,Female,4,5,Human Resources,1,Single,18033,6893,3,No,21,3,1,0,22,0,2,20,1,6,12,36-45,> 10K,2.33,0
3,59,No,Travel_Rarely,Research & Development,12,4,Other,1,Male,1,4,Research Scientist,4,Married,5134,23480,4,No,15,4,3,0,10,4,1,25,24,13,7,46-60,3K-6K,2.0,0
4,23,No,Travel_Frequently,Research & Development,17,2,Medical,3,Female,2,1,Healthcare Representative,1,Single,12803,6856,9,No,19,3,2,0,15,4,1,13,12,9,8,18-25,> 10K,1.67,0
5,32,No,Non-Travel,Sales,21,5,Technical Degree,2,Male,3,3,Sales Representative,4,Married,16408,5655,4,No,23,4,3,2,15,1,4,8,1,14,1,26-35,> 10K,3.33,0
6,47,No,Travel_Rarely,Sales,6,3,Technical Degree,4,Male,4,1,Sales Executive,3,Single,18420,26868,6,Yes,21,3,3,0,13,4,3,11,2,11,16,46-60,> 10K,3.33,0
7,59,Yes,Travel_Frequently,Sales,3,1,Life Sciences,1,Female,2,5,Sales Representative,4,Married,17351,18260,8,No,21,3,3,1,5,4,3,5,1,3,5,46-60,> 10K,2.67,1
8,54,No,Non-Travel,Research & Development,28,5,Technical Degree,1,Male,3,1,Manager,3,Single,5131,22677,6,No,24,3,2,3,16,0,4,19,1,0,2,46-60,3K-6K,2.67,0
9,54,Yes,Travel_Rarely,Research & Development,15,4,Other,4,Male,2,3,Manufacturing Director,1,Divorced,19532,18463,8,No,13,3,2,3,30,1,1,23,2,7,16,46-60,> 10K,2.0,1
10,59,No,Travel_Rarely,Research & Development,7,5,Other,2,Male,1,2,Manager,3,Married,13057,14424,3,No,12,3,3,3,9,5,2,26,5,9,5,46-60,> 10K,2.33,0
11,54,No,Travel_Rarely,Sales,6,1,Medical,4,Male,3,3,Manager,2,Single,12349,6308,9,No,16,4,1,2,19,4,3,37,2,13,7,46-60,> 10K,3.0,0
12,52,No,Travel_Rarely,Human Resources,4,1,Marketing,4,Female,2,1,Manager,3,Married,12486,20246,9,No,23,4,1,1,8,1,4,7,6,8,13,46-60,> 10K,3.67,0
13,40,No,Travel_Frequently,Research & Development,19,4,Life Sciences,2,Male,4,5,Laboratory Technician,4,Divorced,6457,2618,3,No,17,3,1,0,14,2,2,0,0,9,9,36-45,6K-10K,2.67,0
14,23,No,Travel_Rarely,Sales,5,4,Technical Degree,1,Female,4,4,Sales Representative,4,Married,7079,19343,5,No,15,3,4,1,38,0,4,23,9,14,9,18-25,6K-10K,3.0,0
15,21,No,Travel_Rarely,Sales,3,2,Marketing,3,Male,4,4,Sales Executive,4,Married,13453,13470,7,No,11,3,3,3,1,5,4,6,2,8,14,18-25,> 10K,3.67,0
16,35,No,Travel_Rarely,Sales,26,1,Medical,2,Female,3,5,Sales Executive,3,Single,19814,22119,8,Yes,13,3,4,0,3,0,4,18,5,8,7,26-35,> 10K,3.0,0
17,26,No,Travel_Rarely,Research & Development,25,4,Human Resources,3,Female,1,1,Healthcare Representative,4,Married,19263,17492,0,No,13,3,1,3,23,0,1,21,15,11,10,26-35,> 10K,2.67,0
