EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,-1,No,Travel_Rarely,Research & Development,5,4,Marketing,1,2,Male,4,3,Research Director,2,Married,10275.0,9386,5,Y,No,20,3,2,80,3,21,0,3,28,19,10,0
2,44,No,Non-Travel,Human Resources,10,5,Medical,1,4,Female,4,5,Human Resources,1,Single,18033.0,6893,3,Y,No,21,3,1,80,0,22,0,2,20,1,6,12
3,59,No,Travel_Rarely,Research & Development,12,4,Other,1,1,Male,1,4,Research Scientist,4,Married,5134.0,23480,4,Y,No,15,4,3,80,0,10,4,1,25,24,13,7
4,23,No,Travel_Frequently,Research & Development,17,2,Medical,1,3,Female,2,1,Healthcare Representative,1,Single,12803.0,6856,9,Y,No,19,3,2,80,0,15,4,1,13,12,9,8
5,32,No,Non-Travel,Sales,21,5,Technical Degree,1,2,Male,3,3,Sales Representative,4,Married,16408.0,5655,4,Y,No,23,4,3,80,2,15,1,4,8,1,14,1
6,47,No,Travel_Rarely,Sales,6,3,Technical Degree,1,4,Male,4,1,Sales Executive,3,Single,18420.0,26868,6,Y,Yes,21,3,3,80,0,13,4,3,11,2,11,16
7,59,Yes,Travel_Frequently,Sales,3,1,Life Sciences,1,1,Female,2,5,Sales Representative,4,Married,17351.0,18260,8,Y,No,21,3,3,80,1,5,4,3,5,1,3,5
8,54,No,Non-Travel,Research & Development,28,5,Technical Degree,1,1,Male,3,1,Manager,3,Single,5131.0,22677,6,Y,No,24,3,2,80,3,16,0,4,19,1,0,2
9,54,Yes,Travel_Rarely,Research & Development,15,4,Other,1,4,Male,2,3,Manufacturing Director,1,Divorced,19532.0,18463,8,Y,No,13,3,2,80,3,30,1,1,23,2,7,16
10,59,No,Travel_Rarely,Research & Development,7,5,Other,1,2,Male,1,2,Manager,3,Married,13057.0,14424,3,Y,No,12,3,3,80,3,9,5,2,26,5,9,5
11,54,No,Travel_Rarely,Sales,6,1,Medical,1,4,Male,3,3,Manager,2,Single,12349.0,6308,9,Y,No,16,4,1,80,2,19,4,3,37,2,13,7
12,52,No,Travel_Rarely,Human Resources,4,1,Marketing,1,4,Female,2,1,Manager,3,Married,12486.0,20246,9,Y,No,23,4,1,80,1,8,1,4,7,6,8,13
13,40,No,Travel_Frequently,Research & Development,19,4,Life Sciences,1,2,Male,4,5,Laboratory Technician,4,Divorced,6457.0,2618,3,Y,No,17,3,1,80,0,14,2,2,0,0,9,9
14,23,No,Travel_Rarely,Sales,5,4,Technical Degree,1,1,Female,4,4,Sales Representative,4,Married,7079.0,19343,5,Y,No,15,3,4,80,1,38,0,4,23,9,14,9
15,21,No,Travel_Rarely,Sales,3,2,Marketing,1,3,Male,4,4,Sales Executive,4,Married,13453.0,13470,7,Y,No,11,3,3,80,3,1,5,4,6,2,8,14
16,35,No,Travel_Rarely,Sales,26,1,Medical,1,2,Female,3,5,Sales Executive,3,Single,19814.0,22119,8,Y,Yes,13,3,4,80,0,3,0,4,18,5,8,7
17,26,No,Travel_Rarely,Research & Development,25,4,Human Resources,1,3,Female,1,1,Healthcare Representative,4,Married,19263.0,17492,0,Y,No,13,3,1,80,3,23,0,1,21,15,11,10
18,46,No,Non-Travel,Research & Development,9,1,Life Sciences,1,1,Female,1,5,Research Director,4,Married,13158.0,10114,0,Y,No,22,3,2,80,3,17,3,1,34,18,11,15
19,30,Yes,Travel_Rarely,Research & Development,6,2,Other,1,4,Female,3,1,Healthcare Representative,2,Married,16735.0,14188,7,Y,No,24,3,1,80,3,10,1,4,29,2,10,2
20,34,No,Travel_Rarely,Sales,13,3,Marketing,1,3,Male,3,3,Sales Executive,3,Divorced,16830.0,12669,6,Y,Yes,14,3,4,80,1,36,2,3,28,17,10,14
21,49,No,Travel_Rarely,Research & Development,27,1,Medical,1,1,Male,1,2,Manager,2,Single,16125.0,13443,8,Y,No,24,3,4,80,1,25,4,2,21,6,11,12
22,39,No,Travel_Frequently,Sales,22,2,Medical,1,1,Female,4,1,Sales Representative,4,Single,12905.0,20552,2,Y,No,20,3,1,80,3,7,2,3,10,8,3,10
23,21,No,Travel_Rarely,Sales,28,2,Life Sciences,1,4,Male,1,4,Manager,4,Divorced,13298.0,21629,9,Y,No,16,3,3,80,3,21,1,1,19,19,14,13
24,22,No,Travel_Frequently,Research & Development,20,2,Life Sciences,1,4,Male,1,4,Research Scientist,4,Married,3011.0,9235,4,Y,No,15,3,2,80,0,4,0,2,28,11,15,6
25,54,No,Travel_Rarely,Research & Development,4,5,Technical Degree,1,1,Male,2,2,Research Director,3,Single,4373.0,11914,2,Y,No,11,3,2,80,3,1,3,4,40,4,8,14
26,58,Yes,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1,Male,4,1,Research Scientist,1,Married,11335.0,19545,4,Y,No,25,4,1,80,3,4,1,3,33,2,10,5
27,30,Yes,Travel_Rarely,Sales,26,1,Other,1,3,Male,3,2,Sales Representative,4,Divorced,11692.0,12081,9,Y,No,16,3,3,80,3,34,5,3,0,0,3,6
28,51,No,Travel_Frequently,Research & Development,4,5,Other,1,1,Male,1,3,Research Director,4,Single,15527.0,20424,0,Y,No,24,3,3,80,3,31,5,4,30,10,1,13
